"ADDRESS","TOWN_DESC","ZIP_CODE","ZIP_CODE_4","NO_BEDROOMS","BTH_DESC","SALE_PRICE","SETTLED_DATE","SQUARE_FEET","TOTAL_BLDG_SF_CI","LOT_SIZE","YEAR_BUILT","PROP_TYPE","STYLE_SF","GARAGE_SPACES_SF","PARKING_SPACES_SF","MARKET_TIME","LIST_PRICE","PRICE_PER_SQFT","HEATING_SF","SITE_CONDITION_CI","REMARKS","FIRM_RMK1","RSU_UNITS_CI","SALE_OFFICE","MAIN_SO","SALE_AGENT","LIST_AGENT","COUNTY","LIST_OFFICE","STREET_NAME","STREET_NUM","NO_HALF_BATHS","COOLING_CC","COL_COMMON_MF","COOLING_SF","HEA_COMMON_MF","HTE_MF","HEATING_CC","GARAGE_SPACES_CC","TOTAL_PARKING_CC","PARKING_SPACES_MF","PARKING_SPACES_CC","TOTAL_PARKING_SF","TOTAL_PARKING_MF","CONSTRUCTION_SF","CONSTRUCTION_MF","CONSTRUCTION_CC","STATUS","STATUS_DATE","CONTINGENCY_TYPE","TAXES","TAX_YEAR","REQD_OWN_ASSOCIATION_MH","REQD_OWN_ASSOCIATION_SF","REQD_OWN_ASSOCIATION_LD","ASSESSMENTS","ASSESSED_VALUE_BLDG_CI","ASSESSED_VALUE_LAND_CI","TOTAL_ASSESSED_VALUE_CI","PHOTO_DATE","INTERIOR_FEATURES_SF","IFE_COMMON_MF","INTERIOR_FEATURES_CC","CSO_ListDate","ACTIVE_STATUS_FLAG_DATE","LIST_DATE","OFF_MKT_DATE","OFFER_DATE","CTG_EXPIRY_DATE"
"121 Pine Grove Dr U:121","South Hadley, MA","01075","2104",2,"3f 0h",399500.00,"11/18/2022",1674,,,2002,"CC",,,,3,409999.00,238.65,,,"Come take a look at this custom built spacious garden style condo with many upgrades. Open concept living area with cathedral ceilings and gleaming hardwoods running through the entire main floor. Custom cherry kitchen offers tons of sparkling granite and overlooks the open concept living/dining rooms with gas fireplace as the centerpiece! Master with en-suite and walk in, another bedroom, a full bath and the laundry round out this floor. Head upstairs and you will find the cozy loft area, flooded with natural light from the multiple skylights.  if you need more space, the lower level has an additional 800+sqft low finished space which boasts another full bath and could be used for a guest space, game room etc. Wonderful outdoor space on your private deck. TWO car garage! Complex boasts park-like grounds, two in-ground pools, tennis courts & clubhouse.","",,"AN5611","AN1364","M9502213","TM335793","Hampshire","AN1364","Pine Grove Dr",121,0,"Central Air",,,,,"Forced Air, Gas",2,4,,2,0,0,,,,"SLD",11/18/2022 4:09:00 PM,,6923.00,"2022",,,,374600,,,,11/4/2022 9:35:00 AM,,,,,,"11/04/2022","11/07/2022","11/07/2022",
"41 W Summit Street U:71","South Hadley, MA","01075",,2,"1f 0h",188000.00,"12/06/2022",858,,,1987,"CC",,,,20,189900.00,219.11,,,"This is a GEM of a condominium home. Located on the top-floor, this bright home features Brazilian cherry hardwood flooring, a spacious, open floor plan, updated bath, newer appliances, washer and dryer, and berber carpeting in the bedrooms. This home is freshly painted throughout. A screened-in balcony overlooks a serene, peaceful view of greenery. A 392 square-foot storage unit in the building is included. Assigned parking stall in front of the building, plus plenty of extra parking for guests and a second car. The building is secured with intercom access. Well-managed Association. Location is convenient to the new library and walking distance to Canal Park on the Connecticut River.","Seller gives access to property & negotiates * Follow attached OFFER INSTRUCTIONS * Buyer/Buyer Agent must conduct their own due diligence, verification, investigation, analysis, and research.",,"AN6797","AN6797","TM310111","CN236778","Hampshire","AN7148","W Summit Street",41,0,"Wall AC",,,,,"Electric Baseboard",0,2,,2,0,0,,,"Frame","SLD",12/6/2022 1:57:00 PM,,2404.00,"2022",,,,130100,,,,10/13/2022 3:05:00 PM,,,"Cable Available",,,"10/13/2022","11/01/2022","11/01/2022",
"44 Pine Grove Drive U:44","South Hadley, MA","01075",,2,"2f 1h",300000.00,"11/17/2022",1192,,,1988,"CC",,,,8,289500.00,251.68,,,"Welcome to the sought-after Pine Grove Condominiums community! This well-loved one-owner unit has been meticulously updated & refreshed throughout. In person you’ll see that pictures couldn’t do justice for this pristine & unique home. The 1st & 2nd flrs have been professionally painted plus new carpeting & luxury vinyl plank flooring provides a fresh neutral palette for the new homeowner. Upgraded kitchen is complete with all new quartz counters, sink, pulldown faucet, disposal, & new stainless steel refrigerator, stove & hood. A wave of modern elegance is evident in the new lighting fixtures and hardware throughout. ½ bath fully remodeled. The primary bedroom features a generous-sized walk-in closet & en suite upgraded w/ new counter, faucet, toilet & light, as well as the main bath. Furnace & HW both newer (approx 5 yrs). Additional features include fully finished bsmnt, trex deck, gas fireplace, & central vac. Please come join us for 1st viewings at the Open House; Sun 10/16 1-3pm.","Seller reserves the right to accept an offer at any time. Bank certified funds only please for all deposits. For all communication/offers contact Sarah Cabot; sarahjcabot@gmail.com 413-237-2576",,"AN7280","AN7274","TM316344","TM316344","Hampshire","AN7280","Pine Grove Drive",44,1,"Central Air",,,,,"Forced Air, Electric Baseboard, Gas",1,2,,1,0,0,,,"Frame","SLD",11/17/2022 1:06:00 PM,,4831.00,"2022",,,,261400,,,,10/12/2022 11:48:00 PM,,,"Central Vacuum",,,"10/12/2022","10/19/2022","10/19/2022",
"85 N Main St U:9","Belchertown, MA","01007",,3,"2f 0h",268500.00,"11/30/2022",1318,,,2004,"CC",,,,23,274900.00,203.72,,,"Space is the name of the game with this three-bed, two bath condo in Belchertown! 85 North Main Street Unit 9 features a large kitchen and spacious bedrooms to spread out in, including a gorgeous primary suite! You’ll have access to a one-car garage to keep your ride protected from the elements, and a nice patio to enjoy a morning cup of coffee and take in some fresh air! Condo living can be for you with this unit. Make a move while this one is available!","The Seller will not accept letters from prospective Buyers. ROVI only accepts Certified Checks/Funds for deposit. Please include all attached documents on all offers and submit them to oddjobbers84@gmail.com",,"AN6203","AN6181","CN238869","TM325017","Hampshire","AN6797","N Main St",85,0,"Central Air",,,,,"Forced Air",1,3,,2,0,0,,,"Frame","SLD",12/1/2022 10:55:00 AM,"Pending P&S",3769.00,"2022",,,,213400,,,,10/19/2022 9:54:00 PM,,,,,,"10/19/2022","11/10/2022","10/25/2022","11/10/2022"
"232 N East St U:17","Amherst, MA","01002",,2,"1f 0h",190000.00,"11/29/2022",768,,472156.00,1967,"CC",,,,26,209900.00,247.40,,,"Now available in Amherst is this 2 Bedroom, 1 Bath condo in the desirable NorthEast Terrace Condominium Complex. This first floor condo is conveniently located close to the University of Massachusetts, Amherst College, and the center of Amherst. Enter from the hallway to your living room which features sliders to your private patio so you can enjoy spectacular views of the Pelham hills and local farms from your elevated location. The foliage view at this time is unbelievable. You will find new carpeting and a freshly painted unit so you can move right in! There is a pantry/storage area and additional storage closets in the unit as well as an additional storage unit in the basement. In the basement there is also a coin operated washer and dryer. There are 2 newer windows, fresh paint and new carpeting. The property is being offered AS IS. This one won’t last long. Schedule your showing today!","Rentals allowed with approval from Board of Trustees.  Please send signed lead agreement with offer. Second deposit must be a bank check. 1 reserved parking spot for owner, other spots available for guests.",,"M80028","M80028","E0000DAW","TM330712","Hampshire","M95395","N East St",232,0,"None",,,,,"Hot Water Baseboard, Oil",0,1,,1,0,0,,,"Frame","SLD",11/30/2022 3:15:00 PM,"Inspection",3982.00,"2022",,,,187200,,,,10/12/2022 7:59:00 AM,,,,,,"10/12/2022","11/11/2022","11/01/2022","11/14/2022"
"56 Amity Place U:56","Amherst, MA","01002",,1,"1f 0h",245156.00,"12/07/2022",702,,,1985,"CC",,,,19,200000.00,349.23,,,"Location, Location, Location!  Very private, peaceful setting for this lovely 1 bedroom condo, nestled in the back of of this quiet complex.  Stretch out on the gracious brick patio, there's room for dining, gardening and relaxing.  You're close to everything Amherst has to offer  - walk to the cinema, restaurants, library, shopping and the farmer's market. Cute as a button and in excellent condition, the appliances are like new, there is good closet space and laundry in unit.  One car garage has additional storage above.  This unit can be purchased completely furnished, if you like!   Your new life starts right here.  Showing start immediately. Offers being reviewed Monday at noon.","Condo docs at hampshire property management website: https://hpmgnoho.com",,"AN1019","AN1019","E0000JMZ","E9500654","Hampshire","AN1019","Amity Place",56,0,"Central Air",,,,,"Heat Pump, Electric",1,2,,1,0,0,,,"Frame","SLD",12/7/2022 4:23:00 PM,"Pending P&S",4017.90,"2022",,,,188900,,,,10/5/2022 5:21:00 PM,,,"Cable Available",,,"10/05/2022","10/23/2022","10/10/2022","10/23/2022"
"24 Greenleaves Drive U:403","Amherst, MA","01002",,2,"1f 0h",255000.00,"12/09/2022",943,,,2006,"CC",,,,2,255000.00,270.41,,,"Come and see the view in this wonderful 2 bedroom 1 bath back unit in building 24!  Cherry Cabinets, Glass Top Stove, Refrigerator, Microwave, Dishwasher & Washer/Dryer all included.  Walk in closet in the primary bedroom.  Relax by the fireplace in the lobby or enjoy a book in the library.  The Norwottuck Rail Trail is behind the building.  Close to shopping, restaurants, movies, and UMASS.","Dogs under 20lbs.",,"AN5402","AN5402","CN201348","CN216518","Hampshire","M95267","Greenleaves Drive",24,0,"Central Air",,,,,"Forced Air, Gas",0,1,,1,0,0,,,"Frame","SLD",12/9/2022 9:11:00 PM,,3432.98,"2022",,,,161400,,,,11/16/2022 2:27:00 PM,,,"Intercom",,,"11/16/2022","11/18/2022","11/18/2022",
"167 South St U:6","Northampton, MA","01060",,2,"1f 0h",240000.00,"12/09/2022",1100,,,1971,"CC",,,,5,215000.00,218.18,,,"Looking to be close to downtown Northampton with an affordable option? This ground level 2 bedroom condo could be the one you are looking for. Spacious eat-in kitchen with direct access to the common outdoor space and a large sunny living room complete the first level. Upstairs you will find 2 generous bedrooms and a full bath. A clean dry basement houses the laundry room and an area for additional ""usable space"" should you need it. 2 parking spaces are included with the unit and additional short-term guest parking is available.","2nd deposit check must be a bank or certified check. The tenants will be moving out by the end of November.  2 cats in the condo. Please make sure they do not get out and don't try to touch them!  Offer deadline Sunday, Nov. 6 @ 3:00 PM.",,"AN5472","AN5472","E8000127","CN200776","Hampshire","M95332","South St",167,0,"Wall AC",,,,,"Electric Baseboard",0,2,,2,0,0,,,"Brick","SLD",12/9/2022 3:44:00 PM,,3973.37,"2022",,,,222100,,,,11/1/2022 3:30:00 PM,,,,,,"11/01/2022","11/06/2022","11/06/2022",
"212 Fairway Village U:212","Northampton, MA","01060",,2,"1f 1h",315000.00,"12/02/2022",1390,,,1987,"CC",,,,18,315000.00,226.62,,,"Well maintained and affordable Tri-Level condo in desirable Fairway Village in Northampton. This two bedroom, 1.75 bath unit has a fairly open floor plan with the living room, kitchen, 3/4 bath on the main level with a slider out to the deck. The second level has the primary bedroom, with a walk-in closet with a vanity & sink. There is also the second bedroom along with a nice study area at the top of the stairs.  The basement level has a spacious extra/family room.  You can also enjoy a little bit of nature on your own deck.  Finally, you’ll be close to the Northampton Country Club golf course, Look Park, community gardens and Florence Center.","",,"M95332","M95332","E9500710","M0001386","Hampshire","M12800","Fairway Village",212,1,"Wall AC, 2 Units",,,,,"Electric Baseboard, Electric, Wall Unit",1,2,,1,0,0,,,"Frame","SLD",12/5/2022 2:58:00 PM,"Pending P&S",4049.00,"2022",,,,226300,,,,10/31/2022 4:45:00 PM,,,"Central Vacuum, Cable Available, Internet Available - Broadband",,,"10/31/2022","11/17/2022","11/04/2022","11/17/2022"
"20 Pines Edge U:20","Northampton, MA","01060",,2,"1f 1h",261000.00,"11/29/2022",1124,,,1992,"CC",,,,7,239900.00,232.21,,,"Sweet 2 bedroom 1.5 bath Condo in quiet Pines Edge complex. If you are looking for a  serene place to call home this is the Unit for you!  Enjoy nature right outside  your door as complex abuts the Fitzgerald Lake Conservation Area.  The 1st Floor has a nice open flow.  Large living room, eat-in kitchen, bedroom or office with French doors off the kitchen to a lovely private back deck/patio space overlooking the scenic backyard. A 1/2 Bath off Kitchen and Laundry/Pantry with newer LG washer/dryer to complete the 1st floor.  Upstairs is the primary bedroom  with walk-in closet and updated  full bath. Three new skylights  were put in with the new roof .  Skylights make it light & bright on the 2nd Floor There is  additional storage space on the 2nd floor next to the full bath. Tucked away in Nature yet 5-10 minutes to all major grocery stores & services and to 91 North and South. Condo is a must see!","Text or Call Amy @ 413-687-3814 for Appt. Need  24 hr notice (Pets)   and  No Showings until Friday 10-7.",,"AN4474","AN1019","E9500692","TM000767","Hampshire","M80028","Pines Edge",20,1,"None",,,,,"Hot Water Baseboard, Gas",0,2,,2,0,0,,,"Frame","SLD",11/29/2022 12:51:00 PM,,3193.37,"2022",,,,178500,,,,10/3/2022 9:23:00 PM,,,"Cable Available, French Doors",,,"10/03/2022","10/10/2022","10/10/2022",
"80 Damon Rd U:8111","Northampton, MA","01060",,2,"1f 0h",130000.00,"12/05/2022",1197,,,1976,"CC",,,,2,150000.00,108.60,,,"Opportunity is knocking at River Run - just bring your ideas and roll up your sleeves! Sought after townhouse style unit with an open living room/dining area and slider to back patio. What was a first floor half bath has been converted to an in-unit laundry area. Two large bedrooms and full bath on the 2nd floor. Well maintained grounds and in-ground pool for association use. This townhouse unit is being sold as-is and needs work, but the next owner will reap the benefits of added value. Convenient to routes 5 and 91, the bike path, shopping and amenities, and a short walk to the CT River Greenway.","2nd deposit must be bank check; Lead Paint Notification to accompany offer.",,"AN6797","AN6797","CN243948","E9500732","Hampshire","AN0310","Damon Rd",80,0,"None",,,,,"Electric Baseboard",0,1,,1,0,0,,,,"SLD",12/9/2022 9:27:00 AM,,2594.05,"2022",,,,145000,,,,10/9/2022 12:28:00 PM,,,,,,"10/09/2022","10/11/2022","10/11/2022",
"19 Clark Ave U:3","Northampton, MA","01060",,3,"1f 0h",432018.00,"11/16/2022",1165,,,1900,"CC",,,,10,379000.00,370.83,,,"Old world charm abounds in this pet friendly, three bedroom condo located in the heart of Northampton.  Its spacious, classic layout, feels like the floor of a grand Victorian house with original hardwood floors, high ceilings and built-in breakfront.  Sunlight pours through the windows that overlook every direction.  The comforts of modern living are not lost in this antiquity; a fully renovated kitchen...granite countertops, high end cabinets and upgraded appliances. Relax on the private deck with lovely town views. For those who seek a truly vintage style, the bath complete with clawfoot tub and pedestal sink is perfect.  Closets galore!  Private storage unit in the basement for even more space. Downtown Northampton is a stone's throw away and Smith College, the bike path and walking trails are around the corner.  The McCormick Condominium is well established, pet and investor friendly with private parking and free laundry facilities in the building. Showings start immediately.","2nd deposit must be bank/certified check.  Lead paint must accompany all offers.  As per the seller, no escalation clause, no letters, no kidding!",,"AN4474","AN1019","CN215223","CN212116","Hampshire","M80028","Clark Ave",19,0,"Window AC",,,,,"Hot Water Baseboard, Gas, Individual, Unit Control",0,1,,1,0,0,,,"Stone/Concrete","SLD",11/16/2022 2:37:00 PM,"Pending P&S",4812.00,"2022",,,,269000,,,,10/6/2022 7:38:00 PM,,,"Cable Available, Intercom, Internet Available - Broadband",,,"10/06/2022","10/16/2022","10/10/2022","10/23/2022"
"606 Fairway Village U:606","Northampton, MA","01053",,2,"2f 1h",410000.00,"11/15/2022",1481,,,1987,"CC",,,,8,339000.00,276.84,,,"Beautiful updated unit tucked away in a quiet corner at Fairway Village. Enjoy low maintenance living in this well-established townhome community. This spacious unit has 2 bdrms, 2 full baths with skylights and 2 half baths. Main floor has a hall closet, open living rm/dining rm with plenty of natural light, updated kitchen with granite counters and black stainless appliances and a 1/2 bath with washer/dryer. Double patio door opens to a deck overlooking private back yard and sweeping views of the golf course below. 2nd floor boasts a loft area making a perfect spot for an office, a spacious Main bedrm ensuite including a soaking tub and separate shower. Add a 2nd bedrm with a full bath off the hallway. The lower level has 2 finished rms, 2 closets, 1/2 bath and utility/storage rm. 1 car garage with a parking space outside and two guest parking spots in front of unit. A great home in a wonderful location close to Leeds Elem., Northampton CC, Florence Ctr and the Bike Path. Pets welcome","All agents to do due diligence with Condo Docs. Please visit www.hpmghoho.com for all info. 2nd deposit to be bank check.Number of rooms does not include 2 finished rooms in basement and 1/2 bath",,"M80028","M80028","TM326677","M8000448","Hampshire","AN0310","Fairway Village",606,1,"Wall AC, Heat Pump",,,,,"Heat Pump, Electric",1,4,,3,0,0,,,"Frame","SLD",11/17/2022 5:42:00 AM,,4366.00,"2022",,,,244100,,,,8/10/2022 1:39:00 PM,,,"Cable Available, French Doors, Internet Available - Fiber-Optic",,,"08/10/2022","08/18/2022","08/18/2022",
"8 Hockanum Rd U:9","Northampton, MA","01060","2501",2,"1f 1h",349000.00,"11/22/2022",1650,,,2006,"CC",,,,32,349000.00,211.52,,,"Price reduced! Great location for this two bedroom townhouse condo, just minutes to downtown Northampton as well as easy access for commuting. The open floor plan features hardwood floors on the first floor, new stainless steel appliances, new carpeting, and access to a private patio in the back. Upstairs are two generously sized bedrooms and a full bath. The lower level has a finished room which would make a great media room or playroom, and features new LVT flooring. Pets are allowed, and there are 2 off-street parking spaces.","Certified funds for second deposit.",,"J02000","J02000","M8000447","E00000KG","Hampshire","AN0310","Hockanum Rd",8,1,"Central Air",,,,,"Forced Air, Propane",0,2,,2,0,0,,,"Frame","SLD",11/23/2022 8:20:00 AM,"Financing",4812.00,"2022",,,,269000,,,,9/27/2022 10:41:00 AM,,,"Cable Available, Internet Available - Broadband",,,"09/27/2022","10/28/2022","10/14/2022","10/28/2022"
"42 Pleasant St U:2B","Northampton, MA","01060",,2,"1f 0h",465000.00,"11/28/2022",1200,,,1900,"CC",,,,38,474900.00,387.50,,,"Absolute gem of a condo—2BR, 1BA—on the market for 1st time in 30 years! 7-foot Marvin windows, soundproofing and a view of a lovely honey locust tree (shade & privacy): you'd never know you were in a front-to-back unit on Pleasant Street, in downtown Northampton! A light-filled unit in a historic building with soaring 11-foot ceilings, original doors and molding, HW floors. A recent thoughtful renovation has historic charm yet incorporates modern touches. With track lighting, mini-splits, custom architectural glass, bookcases and cabinetry in nearly every room, a walk-in pantry, a walk-in closet, and a mudroom area. Bath boasts cherry vanity, marble top, and lovely finishes; next to it, a W/D combo in a laundry closet. 2nd BR would make a perfect office. Deeded parking at rear has EV charger. A serene spot with beautiful updates, good storage, parking, and all of downtown at your doorstep. A rare find!","Renovation by Keiter was approximately 6 years ago. New Marvin Windows installed 10-15 years ago. Boiler is 6-7 years old (each unit has its own). Roof is 7-10 years old. Floor plans approximate. TEXT Bridget at 413-320-7055 for accompanied showings. Some notice is greatly appreciated.",,"M95332","M95332","M8000893","CN209810","Hampshire","AN5913","Pleasant St",42,0,"Ductless Mini-Split System",,,,,"Hot Water Radiators, Steam, Gas, Electric, Unit Control, Ductless Mini-Split System",0,1,,1,0,0,,,,"SLD",11/29/2022 7:36:00 AM,"Inspection",2075.00,"2022",,,,116000,,,,9/15/2022 12:22:00 AM,,,"Intercom, Finish - Sheetrock, Internet Available - Broadband",,,"09/15/2022","10/22/2022","10/06/2022","10/22/2022"
"80 Damon Rd U:1104","Northampton, MA","01060","1864",2,"1f 1h",151700.00,"11/17/2022",1056,,,1974,"CC",,,,14,160000.00,143.66,,,"Why rent when you can own! Located in the middle of everything is this 2 bedroom 1.5 bath condo with all the amenities to make life a little bit easier. landry located on the premises, ductless mini-split  and a beautiful outdoor swimming pool are just a few of the features that come with this amazing AFFORDABLE home.","condo is currently being rented. Tenant moving out 10/15",,"AN1019","AN1019","M8001377","CN223927","Hampshire","AN6151","Damon Rd",80,1,"Ductless Mini-Split System",,,,,"Electric, Ductless Mini-Split System",0,2,,2,0,0,,,"Brick","SLD",11/17/2022 2:48:00 PM,"Inspection",2258.00,"2022",,,,126200,,,,9/22/2022 9:54:00 AM,,,,,,"09/22/2022","10/05/2022","09/22/2022","10/05/2022"
"89 Bridge Street U:2","Northampton, MA","01060",,3,"2f 1h",760000.00,"11/22/2022",2101,,,2021,"CC",,,,20,775000.00,361.73,,,"The beauty of this luxurious townhouse is no surprise, given the time and talent invested in its design and construction.  Located in downtown Northampton it is easy to enjoy everything this vibrant city offers.  The energy provided by owned solar panels makes this an extra efficient home.  A finished,  insulated, epoxy floored garage creates a bonus multi use flex space, and offers a solar powered dedicated electric car charger. The design of the carport/deck offers outdoor space to enjoy on both sunny and rainy days.  The kitchen incorporates great functionality into the beautiful design, with attractive cabinetry, hardware, lighting, quartz countertops and Bertazzoni appliances.  The master bedroom suite offers a true retreat feel, two closets (one a walk-in, both with custom organizing systems), and a gorgeous tiled bathroom with oversized shower and skylight. Ample storage areas. Truly a beautifully designed, energy efficient and conveniently located townhome.","",,"AN0310","AN0310","E0000JBH","E9500016","Hampshire","AN5913","Bridge Street",89,1,"Heat Pump",,,,,"Heat Pump",1,2,,1,0,0,,,"Frame","SLD",11/22/2022 3:54:00 PM,"Pending P&S",12075.00,"2022",,,,690000,,,,9/21/2022 10:16:00 AM,,,"Cable Available",,,"09/21/2022","10/10/2022","09/27/2022","10/10/2022"
"43 Center Ct U:K","Northampton, MA","01060","3006",1,"1f 0h",270000.00,"12/02/2022",884,,,1900,"CC",,,,117,299000.00,305.43,,,"Well well, AN IN TOWN PENTHOUSE CONDO, private & QUIET  with no restaurants below? Here it is! The lower level has space for living, hanging art, kitchen with dining area, mudroom/entry, & the bedroom with walk in closet. Up the circular staircase is (jaw drop) a loft for your imagination to take over…and the VIEWS through myriad Palladian windows, including a massive triangular window, are inspiring. The quality & amount of oak trim, Maple cabinetry, oak floors, and solid oak doors are beyond anything in any units in town…add the exposed beams and intriguing angles of the lofted ceilings and you have a special place to call home. RARE DEEDED PARKING SPACE. The building: sprinkler system, an elevator, is professionally managed, secure, and all 4 residential units are in the top floor and your laundry is on that same floor. Your monthly fees may appear hefty!.BUT cover Heat, Hot Water, master insurance, snow and rubbish removal, water and sewer, elevator, security, pro management!","Showings begin immediately; text Micki for the appointment!",,"AN5913","AN5910","CN228799","M8001466","Hampshire","M95332","Center Ct",43,0,"Central Air",,,,,"Forced Air, Gas",0,1,,1,0,0,,,,"SLD",12/3/2022 7:54:00 AM,,5215.00,"2022",,,,291500,,,,7/7/2022 6:30:00 PM,,,,,,"07/07/2022","11/01/2022","11/01/2022",
"Lot 4 Conrad Circle U:4","Easthampton, MA","01027",,3,"2f 1h",539900.00,"12/09/2022",1909,,,2022,"CC",,,,16,539900.00,282.82,,,"Welcome to Easthampton's Newest Luxury Condominium Development! This New Condo Community is nestled on a picturesque and private 14.74 acres surrounded by nature celebrating a sophisticated, relaxed & peaceful lifestyle. Built w/Quality Construction, two different styled condos to choose from; the Westwood & Eastwood. All units will have 2 car attached garages, full basements w/potential to finish, gas heat & c-air, city water & city sewer. Lot 4 Conrad Circle is the Eastwood, a Townhouse (LAST TOWNHOUSE AVAILABLE). Featuring approximately 1,909 sq ft reflecting today's modern living w/an open & airy design! Boasting a desirable 1st Flr Master Suite w/private master bathrm w/double sink granite vanity. A stunning kitchen w/granite counters, a convenient lst flr Laundry & 1/2 Bathrm. A spacious gas fireplaced living rm accented w/a tray ceiling is perfect for gatherings. 2nd flr offers 2 generous bedrms w/great closet space along w/a stylish main bath. Reserve Today! Worth the Wait!","To be built - Price / Plans / Features / Condo Fees are all subject to change. Mid to late Fall Completion. Seller has the right to accept an offer at any time. Listing Brokers have ownership interest in subdivision. Buyer to verify any & all information. More information at www.SteplarCrossing.com.",,"AN6203","AN6181","TEAM0470","TM006508","Hampshire","AC1608","Conrad Circle",4,1,"Central Air",,,,,"Forced Air, Propane",2,4,,2,0,0,,,"Frame","SLD",12/12/2022 6:08:00 PM,"Attorney Review",0.00,"2022",,,,0,,,,6/10/2022 8:25:00 PM,,,"Cable Available",,,"06/10/2022","06/25/2022","06/10/2022","06/25/2022"
"Lot 9 Conrad Cirlce U:9","Easthampton, MA","01027",,2,"2f 0h",509900.00,"11/29/2022",1576,,,2022,"CC",,,,16,509900.00,323.54,,,"Welcome to Easthampton's Newest Luxury Condominium Development! This New Condo Community is Nestled on a Picturesque & Private 14.74 acres Surrounded by Nature Celebrating a Sophisticated, Relaxed & Peaceful Lifestyle. Built with Quality Construction, 2 different styled condos to choose from; the Westwood & Eastwood. All units will have 2 car attached garages, full basements w/potential to finish, gas heat & central air, city water & city sewer. Lot 9 Conrad Circle is the Westwood, a Garden Unit w/WALK-OUT BASEMENT. Featuring approximately 1,576 sq ft of comfortable one floor living w/an open & airy concept. A stunning kitchen w/trendy cabinets, stainless appliances, granite island flows into the great rm~dining rm is ideal to host gatherings is accented by a dramatic cathedral ceiling & striking corner fireplace w/slider to patio. Outstanding Master Suite w/walk-in closet/private mbath w/dual granite sink vanity along w/generous 2nd bedrm w/roomy closet. Reserve Today! Worth the Wait!","To Be Built, Price, Plans, Features & Condo Fees are all Subject to Change.Seller has the right to accept an offer at any time.Listing Brokers have ownership interest in subdivision.Buyer to verify all information.Pets: No more than 2 pets per unit combined weight 60 lbs. www.SteplarCrossing.com",,"AN4474","AN1019","E9500692","TM006508","Hampshire","AC1608","Conrad Cirlce",9,0,"Central Air",,,,,"Forced Air, Propane",2,4,,2,0,0,,,"Frame","SLD",12/2/2022 10:40:00 AM,"Financing",0.00,"2022",,,,0,,,,5/1/2022 8:19:00 PM,,,"Cable Available",,,"05/01/2022","05/16/2022","05/02/2022","05/16/2022"
"56 Watch Hill Dr U:56","Enfield, CT","06082",,2,"2f 0h",492291.00,"12/08/2022",2000,,,0,"CC",,,,562,479900.00,246.15,,,"TO BE BUILT....This ABBOTT model in the Shaker Heights 55+ community is set in a beautiful and relaxing woodland setting located in Enfield, CT.  This beautiful TO BE BUILT free-standing condo home features unparalleled quality and pride of workmanship throughout. Entering the home, you are greeted by the bright warm open concept.  The  kitchen offers an island, granite counter tops, loads of cabinets and all appliances.  The family room featuring hardwood floors is bright and cheerful. There are 2 bedrooms and 2 full bathrooms and a den/office.  This community offers the ease of condo living with the privacy of single family home. This carefree and pet friendly destination features low monthly association fees that cover lawn care, snow removal and road maintenance. Shaker Heights is conveniently located minutes away from Route 91, shopping centers and a variety of dining options.","Agent must accompany buyer on first showing.",,"AN6218","AN6181","TM331991","TM331991","Hartford","AN6218","Watch Hill Dr",56,0,"Central Air",,,,,"Forced Air, Gas",2,4,,2,0,0,,,"Frame","SLD",12/11/2022 6:10:00 PM,,0.00,"2020",,,,0,,,,10/13/2020 1:43:00 PM,,,"Cable Available",,,"10/13/2020","04/29/2022","04/29/2022",
"24 Robert Court U:E","Manchester, NH","03103",,2,"1f 0h",200000.00,"12/08/2022",811,,,1974,"CC",,,,22,194900.00,246.61,,,"OPEN HOUSE 11/5 1-3pm!!! Welcome home to Summit Place! As you enter into this lovely 2nd floor unit, you will be welcomed to an open concept living room & kitchen space, with loads of natural light. The kitchen has been updated with backsplash, paint and NEW stainless steel appliances. Living room has new vinyl plank flooring and a new slider leading to the balcony! Both bedrooms have ample closet space along with fresh paint, as well as new vinyl plank flooring. Along with the wonderful highlands location, enjoy low condo fees which include 2 parking spaces, storage unit and water/sewer! Association is FHA approved!!!","",,"AC2360","NH0049","TM009653","TM009653","Hillsborough","AC2360","Robert Court",24,0,"Wall AC",,,,,"Electric Baseboard",0,2,,2,0,0,,,"Frame","SLD",12/12/2022 3:02:00 PM,"Inspection",2623.00,"2021",,,,163000,,,,11/1/2022 1:57:00 PM,,,,,,"11/01/2022","11/22/2022","11/08/2022","11/22/2022"
