page_index,record_index,inst_raw,book_page_raw,ref_book_page_raw,recorded_at_raw,town_primary,address_primary,consideration_raw,descr_raw,parties_n
,,3973,23658-151,,01-19-2021 2:12:11p,LONGMEADOW,103 LAUREL ST,"319,900.00",LAUREL ST,3
,,3952,23657-600,,01-19-2021 2:00:22p,CHICOPEE,14 PADEREWSKI ST,"281,000.00",PADEREWSKI ST,3
,,3940,23657-574,,01-19-2021 1:56:24p,HOLLAND,10 OLD COUNTY RD,"375,000.00",OLD COUNTY RD,1
,,4033,23658-308,,01-19-2021 2:47:28p,WEST SPRINGFIELD,1642 WESTFIELD ST,1.00,WOODMONT ST,15
,,4072,23658-405,,01-19-2021 3:16:16p,SPRINGFIELD,72-74 PALMER ST,,PALMER ST,9
,,4069,23658-400,,01-19-2021 3:15:33p,CHICOPEE,109 ARCADE ST,"178,250.00",ARCADE ST,5
,,4058,23658-362,,01-19-2021 3:06:26p,WEST SPRINGFIELD,163 WOODMONT ST,"178,250.00",WOODMONT ST,7
,,4121,23658-574,,01-19-2021 4:01:29p,SPRINGFIELD,72-74 RITTENHOUSE TERR,"259,700.00",RITTENHOUSE TERR,4
,,4109,23658-538,,01-19-2021 3:57:58p,SPRINGFIELD,45 BRICKETT ST,"112,900.00",BRICKETT ST,2
,,4095,23658-477,,01-19-2021 3:34:11p,BAST LONGMEADOW,43 BREEZY KNOLL RD,"479,900.00",BREEZY KNOLL RD,4
,,4078,23658-413,,01-19-2021 3:22:23p,WESTFIELD,28 PINEWOOD LA,1.00,PINEWOOD LA,4
,,4158,23659-139,,01-20-2021 9:01:51a,HOLYOKE,34L MAPLE CREST CIR,"124,900.00",MAPLE CREST CIR,2
,,4153,23659-81,,01-20-2021 9:01:37a,BAST LONGMEADOW,94 KIM ST,"273,800.00",ELM ST,2
,,4150,23659-76,,01-20-2021 8:56:22a,HAMPDE,495 GLENDALE RD,1.00,GLENDALE RD,5
,,4148,23659-73,,01-20-2021 8:54:27a,HOLYOKE,INGLESIDE ST,10.00,INGLESIDE ST,4
,,4142,23659-45,,01-20-2021 8:43:06a,WESTFIELD,2 LEWIS ST,"169,900.00",LEWIS ST,1
,,4138,23659-15,,01-20-2021 8:42:32a,HOLYOKE,61 ARTHUR ST,10.00,ARTHUR ST,3
,,4191,23659-320,,01-20-2021 9:36:54a,HOLYOKE,ARTHUR ST,,"INGLESIDE, ARTHUR STS",7
,,4190,23659-318,,01-20-2021 9:36:48a,HOLYOKE,20 LONGWOOD AVE,,LONGWOOD AVE,2
,,4185,23659-269,,01-20-2021 9:33:32a,WESTFIELD,44 STUART PL,"200,000.00",STUART PL,3
,,4181,23659-262,,01-20-2021 9:30:52a,CHICOPEE,53 SARATOGA AVE,,SARATOGA AVE,2
,,4168,23659-168,,01-20-2021 9:10:00a,WEST SPRINGFIELD,477 COLD SPRING AVE UNIT 477,"205,000.00",UNIT 477,3
,,4166,23659-164,,01-20-2021 9:07:19a,WESTFIELD,24 DUBOIS ST,10.00,DUBOIS ST,0
,,4245,23660-13,,01-20-2021 10:31:29a,CHICOPEE,36 BOSTWICK LA,"255,000.00",BOSTWICK LA,6
,,4242,23660-6,,01-20-2021 10:19:32a,WEST SPRINGFIELD,52 MEADOWBROOK AVE,1.00,MEADOWBROOK AVE,3
,,4230,23659-538,,01-20-2021 10:11:33a,PALMER,16 ARNOLD ST,,ARNOLD ST,3
,,4220,23659-463,,01-20-2021 9:58:08a,WEST SPRINGFIELD,898 AMOSTOWN RD,"7,800.00",AMOSTOWN RD,3
,,4214,23659-412,,01-20-2021 9:53:33a,HOLYOKE,24 ASHLEY RD,"223,500.00",ASHLEY RD,4
,,4278,23660-164,,01-20-2021 11:33:56a,SPRINGFIELD,24 CREST ST,"150,000.00",CREST ST,2
,,4268,23660-111,,01-20-2021 11:13:32a,BRIMFIELD,190 BROOKFIELD RD,,BROOKFIELD RD,4
,,4258,23660-82,,01-20-2021 11:02:50a,WILBRAHAM,11 PEARL LA,"269,999.00",PEARL LA,3
,,4255,23660-60,,01-20-2021 10:49:48a,HOLYOKE,23 BRENAN ST,"269,999.00",BRENAN ST,3
,,4252,23660-52,,01-20-2021 10:39:36a,AGAWAM,5 COTTONWOOD LA,,"COTTONWOOD LA, RIDGE AVE",4
,,4249,23660-18,,01-20-2021 10:33:21a,WESTFIELD,121 RIDGECREST DR,"380,000.00",RIDGECREST DR,1
,,4325,23660-436,,01-20-2021 12:53:49p,SPRINGFIELD,19-21 VICTORIA ST,"255,000.00",VICTORIA ST,6
,,4313,23660-373,,01-20-2021 12:31:13p,HOLYOKE,25 HICKORY ST,"265,000.00",HICKORY ST,4
,,4307,23660-347,,01-20-2021 12:16:50p,RUSSELL,75 DICKINSON HILL RD,"290,000.00",DICKINSON HILL RD,3
,,4300,23660-318,,01-20-2021 12:05:21p,SPRINGFIELD,72 HALL ST,1.00,HALL ST,3
,,4290,23660-235,,01-20-2021 11:57:01a,HOLYOKE,16 TAYLOR ST,"233,000.00",TAYLOR ST,3
,,4286,23660-215,,01-20-2021 11:51:54a,SPRINGFIELD,86 CEDAR ST,"65,000.00",CEDAR ST,3
,,4362,23660-578,,01-20-2021 2:07:32p,SPRINGFIELD,86 CEDAR ST,,,3
,,4358,23660-560,,01-20-2021 2:07:00p,SPRINGFIELD,53 TALMADGE DR,"180,000.00",,4
,,4347,23660-541,,01-20-2021 1:59:04p,AGAWAM,301 SOUTH WEST ST,,EDENDALE ST,6
,,4340,23660-501,,01-20-2021 1:42:17p,SPRINGFIELD,1195 BERKSHIRE AVE,"180,000.00",BERKSHIRE AVE,2
,,4421,23661-328,,01-20-2021 3:37:05p,CHICOPEE,61 ABBEY MEMORIAL DR UNIT 168,"160,000.00","UNIT 168,42",7
,,4417,23661-322,,01-20-2021 3:34:58p,SPRINGFIELD,22 OCONNELL ST,"174,000.00",OCONNELL ST,5
,,4409,23661-279,,01-20-2021 3:27:32p,CHICOPEE,332 GROVE ST,"280,000.00",GROVE ST,3
,,4394,23661-190,,01-20-2021 2:52:19p,LUDLOW,24 RIDGEVIEW CIR,"190,000.00",RIDGEVIEW CIR,4
,,4389,23661-139,,01-20-2021 2:51:58p,HOLYOKE,47 NORTH SUMMER ST,"140,000.00",NORTH SUMMER ST,2
,,4537,23662-425,,01-21-2021 11:01:18a,LUDLOW,32 LOWER WHITNEY ST,"225,000.00",LOWER WHITNEY ST,4
,,4531,23662-376,,01-21-2021 10:47:46a,SPRINGFIELD,41 LADD ST,"189,000.00",LADD ST,2
,,4527,23662-356,,01-21-2021 10:36:08a,MONTGOMERY,22 PINE RIDGE RD,"148,500.00",PINE RIDGE RD,2
,,4508,23662-258,,01-21-2021 9:37:17a,SPRINGFIELD,80-82 SILVER ST,"120,000.00",SILVER ST,5
,,4500,23662-223,,01-21-2021 9:31:13a,BRIMFIELD,108 STURBRIDGE RD,"189,000.00",STURBRIDGEH RD,5
,,4581,23663-32,,01-21-2021 12:49:22p,WEST SPRINGFIELD,38 CLARENCE ST,,,2
,,4576,23663-3,,01-21-2021 12:42:41p,WEST SPRINGFIELD,245 KINGS HGY,1.00,KINGS HGY,3
,,4569,23662-577,,01-21-2021 12:30:19p,LONGMEADOW,482 LAUREL ST,,LAUREL ST,4
,,4560,23662-554,,01-21-2021 12:06:50p,CHICOPEE,11 LEEDS ST,,LEEDS ST,10
,,4541,23662-444,,01-21-2021 11:13:16a,CHICOPEE,82 MANDALAY RD,"150,000.00",MANDALAY RD,3
,,4604,23663-159,,01-21-2021 1:17:39p,WILBRAHAM,53 WESTON ST,"215,000.00",,3
,,4601,23663-136,,01-21-2021 1:13:10p,CHICOPEE,11 LEEDS ST,"197,500.00",LEEDS ST,8
,,4595,23663-116,,01-21-2021 1:02:23p,CHICOPEE,190 NEWBURY ST,,NEWBURY ST,10
,,4585,23663-81,,01-21-2021 12:59:22p,CHICOPEE,20 GLENDALE ST,"197,500.00",GLENDALE ST,2
,,4595,23663-116,,01-21-2021 1:02:23p,LONGMEADOW,69 DRURY LA,"215,000.00",DRURY LA,1
,,4638,23663-357,,01-21-2021 2:05:48p,TOLLAND,45 ONA RD,"215,000.00",ONA RD,4
,,4630,23663-304,,01-21-2021 1:57:49p,AGAWAM,92-94 ROYAL ST,"260,000.00",ROYAL ST,2
,,4626,23663-286,,01-21-2021 1:55:26p,SPRINGFIELD,57-59 WILMONT ST,"210,000.00",WILMONT ST,3
,,4623,23663-267,,01-21-2021 1:51:39p,SPRINGFIELD,99 LEYFRED TERR,"257,000.00",LEYFRED TERR,2
,,4617,23663-216,,01-21-2021 1:46:20p,SOUTHWICK,HONEY BIRD RUN,"125,000.00",HONEY BIRD RUN,2
,,4612,23663-184,,01-21-2021 1:26:06p,AGAWAM,49 WOODSIDE DR,"215,000.00",WOODSIDE DR,4
,,4683,23663-566,,01-21-2021 3:05:53p,SOUTHWICK,HONEY BIRD RUN,"150,000.00",HONEY BIRD RU,2
,,4670,23663-521,,01-21-2021 2:54:24p,SOUTHWICK,HONEY BIRD RUN,"140,000.00",HONEY BIRD RU,2
,,4668,23663-503,,01-21-2021 2:48:42p,SPRINGFIELD,45 MANITOBA ST,100.00,MANITOBA ST,3
,,4659,23663-447,,01-21-2021 2:47:57p,HAMPDE,44 ALLEN CREST ST,100.00,ALLEN CREST ST,3
,,4649,23663-403,,01-21-2021 2:16:24p,WEST SPRINGFIELD,5 WILDER TERR,"188,000.00",WILDER TERR,1
,,4643,23663-376,,01-21-2021 2:08:08p,AGAWAM,49 HIGHLAND ST,"150,000.00",HIGHLAND ST,6
,,4825,23664-576,,01-22-2021 11:12:47a,LUDLOW,SUNSET RIDGE,"125,000.00",SUNSET RIDGE,3
,,4801,23664-499,,01-22-2021 10:14:02a,BAST LONGMEADOW,7 PRINCETON ST,"40,000.00",PRINCETON ST,5
,,4793,23664-487,,01-22-2021 9:54:28a,SPRINGFIELD,400 MAPLE ST,"499,000.00",MAPLE ST,2
,,4778,23664-450,,01-22-2021 9:28:23a,LUDLOW,308 MILLER ST UNIT 55,1.00,"UNIT 55,12",6
,,4774,23664-443,,01-22-2021 9:25:18a,AGAWAM,27 LIBERTY AVE,1.00,LIBERTY AVE,4
,,4859,23665-127,,01-22-2021 11:42:28a,HOLYOKE,37 PRINCETON ST,"280,000.00",PRINCETON ST,4
,,4857,23665-123,,01-22-2021 11:38:42a,EAST LONGMEADOW,116 COLONY DR,"337,500.00",COLONY DR,3
,,4854,23665-96,,01-22-2021 11:37:46a,RUSSELL,55 CEDAR TERR,"175,000.00",CEDAR TERR,2
,,4849,23665-77,,01-22-2021 11:33:15a,BAST LONGMEADOW,14 HIGH ST,"345,000.00",HIGH ST,3
,,4842,23665-52,,01-22-2021 11:29:42a,SPRINGFIELD,21 BRIGHAM ST,"337,500.00",BRIGHAM ST,3
,,4829,23664-582,,01-22-2021 11:17:25a,SPRINGFIELD,130 MANCHESTER TERR,"280,000.00","MANCHESTER TERR, LAND REG",1
,,4898,23665-355,,01-22-2021 12:25:07p,SPRINGFIELD,41-,,,4
,,4894,23665-332,,01-22-2021 12:22:52p,EAST LONGMEADOW,101,"585,000.00",,3
,,4876,23665-215,,01-22-2021 12:02:06p,WILBRAHAM,20,"100,000.00",,1
,,4932,23665-516,,01-22-2021 12:46:23p,PALMER,260 BRECKENRIDGE ST,"175,000.00",BRECKENRIDGE ST,4
,,4926,23665-475,,01-22-2021 12:42:30p,SPRINGFIELD,72 JEAN DR,"159,900.00",JEAN DR,2
,,4918,23665-444,,01-22-2021 12:34:23p,SPRINGFIELD,123 FLORENCE ST,"85,000.00",FLORENCE ST,2
,,4909,23665-386,,01-22-2021 12:31:32p,WESTFIELD,48 PLEASANT ST,"199,000.00",PLEASANT ST,2
,,4905,23665-368,,01-22-2021 12:28:50p,BLANDFORD,2 RUSSELL STAGE RD,"245,000.00",RUSSELL STAGE RD,3
,,4900,23665-360,,01-22-2021 12:25:46p,WESTFIELD,119 UNION ST UNIT 2,"130,000.00",UNIT 2,3
,,4972,23666-103,,01-22-2021 1:31:48p,HOLYOKE,36 QUEEN ST,"276,000.00",QUEEN ST,4
,,4969,23666-95,,01-22-2021 1:25:35p,SOUTHWICK,54 COLLEGE HGY,"480,000.00",COLLEGE HGY,3
,,4963,23666-69,,01-22-2021 1:23:26p,SPRINGFIELD,49 NUTMEG DR,"272,000.00",NUTMEG DR,2
,,4958,23666-46,,01-22-2021 1:21:16p,CHICOPEE,36 ARTISAN ST,"540,000.00",ARTISAN ST,1
,,4952,23666-2,,01-22-2021 1:17:40p,SPRINGFIELD,195 TYLER ST,"170,000.00",TYLER ST,2
,,4944,23665-577,,01-22-2021 1:06:28p,WILBRAHAM,26 LODGE LA,"421,000.00",UNIT 26,1
,,4941,23665-560,,01-22-2021 1:02:03p,SPRINGFIELD,24 CLEVELAND ST,"182,000.00",CLEVELAND ST,2
,,4994,23666-249,,01-22-2021 2:04:34p,SPRINGFIELD,24 CLEVELAND ST,,,2
,,4993,23666-247,,01-22-2021 2:04:34p,LUDLOW,HARVEST DR,"139,900.00",HARVEST DR,3
,,4990,23666-223,,01-22-2021 2:04:18p,WESTFIELD,13 MAPLE ST,"225,000.00",MAPLE ST,3
,,4988,23666-205,,01-22-2021 2:01:17p,WESTFIELD,26 WILLIAM ST,"250,000.00",WILLIAM ST,4
,,4983,23666-179,,01-22-2021 1:53:15p,SPRINGFIELD,70 ALVIN ST,"250,000.00",ALVIN ST,2
,,4977,23666-145,,01-22-2021 1:41:30p,AGAWAM,51 RANDALL ST,1.00,RANDALL ST,4
,,5026,23666-404,,01-22-2021 2:55:07p,AGAWAM,51 RANDALL ST,"195,000.00",,4
,,5022,23666-379,,01-22-2021 2:51:12p,HOLYOKE,93 FRANKLIN ST,"125,014.00",FRANKLIN ST,2
,,5016,23666-355,,01-22-2021 2:35:46p,SOUTHWICK,193 BERKSHIRE AVE,"262,000.00",BERKSHIRE AVE,4
,,5010,23666-311,,01-22-2021 2:25:22p,CHICOPEE,156 GREENWOOD TERR UNIT 6019A,"134,900.00",UNIT 6019A,2
,,5005,23666-288,,01-22-2021 2:22:48p,WEST SPRINGFIELD,21 LYMAN ST,"289,000.00",LYMAN ST,2
,,4997,23666-253,,01-22-2021 2:10:47p,WEST SPRINGFIELD,62 SOUTHWORTH ST,"247,500.00",SOUTHWORTH ST,2
,,4997,23666-253,,01-22-2021 2:10:47p,CHICOPEE,61 CHESTER ST,"195,000.00",CHESTER ST,3
,,5056,23666-547,,01-22-2021 3:21:00p,CHICOPEE,61 CHESTER ST,"350,000.00",,3
,,5052,23666-527,,01-22-2021 3:13:05p,SOUTHWICK,12 ROSEWOOD LA,1.00,UNIT A-12,10
,,5038,23666-448,,01-22-2021 3:03:54p,AGAWAM,32 FEDERAL ST,"380,000.00",FEDERAL ST,3
,,5035,23666-430,,01-22-2021 3:01:19p,WILBRAHAM,130 MOUNTAIN RD,"325,000.00",MOUNTAIN RD,2
,,5033,23666-425,,01-22-2021 2:59:02p,SOUTHWICK,3 MOCKINGBIRD LA,1.00,MOCKINGBIRD LA,3
,,5033,23666-425,,01-22-2021 2:59:02p,SPRINGFIELD,39 HERBERT AVE,"350,000.00",HERBERT AVE,0
,,5084,23667-105,,01-22-2021 3:44:48p,SPRINGFIELD,181 BOWDOIN ST,"122,250.00",,4
,,5083,23667-103,,01-22-2021 3:44:48p,SOUTHWICK,3 MOCKINGBIRD LA,100.00,,4
,,5082,23667-100,,01-22-2021 3:38:43p,SPRINGFIELD,153 WESTMINSTER ST,"75,000.00",,3
,,5076,23667-74,,01-22-2021 3:32:20p,WESTFIELD,37 KING ST,"259,900.00",,2
,,5074,23667-71,,01-22-2021 3:31:56p,SPRINGFIELD,186 DAVIS ST,1.00,,6
,,,,,,SPRINGFIELD,186 DAVIS ST,,,6
,,5218,23668-35,,01-25-2021 11:01:07a,SPRINGFIELD,53 PRENTICE ST,1.00,PRENTICE ST,3
,,5180,23667-445,,01-25-2021 9:45:34a,BRIMFIELD,240 WARREN RD,100.00,WARREN RD,3
,,5179,23667-442,,01-25-2021 9:45:34a,SPRINGFIELD,6 VA ST,100.00,VA ST,3
,,5136,23667-272,,01-25-2021 8:57:32a,WESTFIELD,51 PINHERIDGE DR,100.00,PINERIDGE DR,4
,,5133,23667-253,,01-25-2021 8:55:58a,WESTFIELD,51 PINHERIDGE DR,100.00,PINERIDGE DR,3
,,5108,23667-171,,01-25-2021 8:38:55a,BRIMFIELD,FIRST ST,1.00,FIRST ST,0
,,5260,23668-256,,01-25-2021 11:48:53a,BRIMFIELD,FIRST ST,,FIRST ST,10
,,5256,23668-239,,01-25-2021 11:48:52a,SPRINGFIELD,732 COTTAGE ST,1.00,COTTAGE ST & LAND REG,4
,,5251,23668-225,,01-25-2021 11:48:36a,SPRINGFIELD,282 COMMONWEALTH AVE,"138,000.00",COMMONWEALTH AVE,4
,,5227,23668-78,,01-25-2021 11:20:54a,WESTFIELD,1082 SHAKER RD,"200,000.00",SHAKER RD,3
,,5322,23669-37,,01-25-2021 1:24:50p,WESTFIELD,20 JEFFERSON ST,,,2
,,5298,23668-467,,01-25-2021 12:58:03p,LUDLOW,100 HUBBARD ST,1.00,HUBBARD ST,3
,,5291,23668-404,,01-25-2021 12:44:54p,WESTFIELD,59 SOUTH MAPLE ST,1.00,SOUTH MAPLE ST,2
,,5288,23668-400,,01-25-2021 12:37:06p,WALES,10 POLLY RD,1.00,POLLY RD,1
,,5281,23668-372,,01-25-2021 12:22:50p,HOLYOKE,1000-1002 HAMPDEN ST,"262,650.00",HAMPDEN ST,3
,,5268,23668-298,,01-25-2021 11:54:47a,HOLYOKE,121-123 CLEMENTE ST,"1,350,000.00",ROBERTO CLEMENTE ST &0O,0
,,5351,23669-184,,01-25-2021 2:13:33p,SPRINGFIELD,122 COLORADO ST,"155,000.00",,8
,,5347,23669-162,,01-25-2021 2:08:51p,BAST LONGMEADOW,55 GLYNN FARMS DR,100.00,GLYNN FARMS DR,3
,,5339,23669-110,,01-25-2021 1:58:16p,WEST SPRINGFIELD,39 SUNNYSIDE ST,"320,000.00",SUNNYSIDE ST,4
,,5325,23669-41,,01-25-2021 1:32:36p,SOUTHWICK,38 MORT VINING RD,"369,900.00",MORT VINING RD,3
,,5325,23669-41,,01-25-2021 1:32:36p,GRANVILLE,75 OLD WESTFIELD RD,"155,000.00",OLD WESTFIELD RD,5
,,5399,23669-431,,01-25-2021 2:49:08p,TOLLAND,37 LAKESIDE DR,"161,999.00",AAKESIDE DR,6
,,5395,23669-405,,01-25-2021 2:43:47p,EAST LONGMEADOW,8 AUBURN ST,"835,000.00",AUBURN ST,4
,,5387,23669-379,,01-25-2021 2:39:25p,HOLYOKE,20 HICKORY ST,"210,000.00",HICKORY ST,3
,,5373,23669-328,,01-25-2021 2:31:28p,SPRINGFIELD,14 PARKSIDE ST,1.00,PARKSIDE ST,2
,,5361,23669-241,,01-25-2021 2:20:02p,LONGMEADOW,122 ARDSLEY RD,"376,500.00",ARDSLEY RD,4
,,5357,23669-221,,01-25-2021 2:17:36p,SPRINGFIELD,101 STUART ST,,STUART ST,3
,,5436,23669-548,,01-25-2021 3:25:16p,SPRINGFIELD,101 STUART ST,,,3
,,5431,23669-526,,01-25-2021 3:17:04p,HOLYOKE,348 WEST FRANKLIN ST,"295,000.00",WEST FRANKLIN ST,2
,,5428,23669-521,23647-202,01-25-2021 3:07:31p,SPRINGFIELD,90 MOORELAND ST,,MOORELAND ST,3
,,5419,23669-482,,01-25-2021 2:56:59p,BLANDFORD,GIBBS RD,"205,000.00",,2
,,5403,23669-450,,01-25-2021 2:49:26p,SPRINGFIELD,34 LORIMER ST,"150,000.00",LORIMER ST,3
,,5403,23669-450,,01-25-2021 2:49:26p,MONSON,6 CROW HILL RD,"150,000.00",CROW HILL RD,3
,,5446,23670-10,21548-265,01-25-2021 3:40:57p,WESTFIELD,13 PARK RIVER CIR,1.00,PARK RIVER CIR,5
,,5442,23669-593,,01-25-2021 3:31:56p,WESTFIELD,549 RUSSELL RD UNIT 10B,"92,000.00",UNIT 10-B,5
,,5438,23669-551,,01-25-2021 3:29:26p,WESTFIELD,9 FURROW ST,1.00,,2
,,5601,23671-229,,01-26-2021 10:24:31a,SPRINGFIELD,281 GILBERT AVE,"405,000.00",GILBERT AVE,3
,,5596,23671-207,,01-26-2021 10:21:15a,LUDLOW,695 CHAPIN ST,"315,000.00",CHAPIN ST,4
,,5585,23671-167,,01-26-2021 10:02:22a,SPRINGFIELD,77-79 GROVELAND ST,1.00,GROVELAND ST,0
,,5568,23671-92,,01-26-2021 9:44:13a,HOLYOKE,43 DOWNING AVE,1.00,DOWNING AVE,3
,,5512,23670-253,,01-26-2021 9:00:47a,SPRINGFIELD,124 DONBRAY RD,"330,000.00",DONBRAY RD,3
,,5500,23670-154,,01-26-2021 8:52:10a,SPRINGFIELD,62-64 DUNMORELAND ST,"210,000.00",DUNMORELAND ST,2
,,5662,23671-487,,01-26-2021 11:31:32a,SPRINGFIELD,1542-1548 CAREW ST,"214,000.00",,4
,,5656,23671-446,,01-26-2021 11:28:19a,SPRINGFIELD,203 MAIN ST,"50,000.00",MAIN ST,2
,,5625,23671-331,,01-26-2021 10:52:15a,SPRINGFIELD,178-180 BOSTON RD,"280,000.00",BOSTON RD,1
,,5615,23671-301,,01-26-2021 10:40:15a,SPRINGFIELD,14 MANSFIELD ST,1.00,MANSFIELD ST,1
,,5606,23671-264,,01-26-2021 10:33:28a,AGAWAM,483 NORTH WESTFIELD ST,"245,051.00",ORTH WESTFIELD ST,6
,,5604,23671-249,23612-76,01-26-2021 10:29:47a,BAST LONGMEADOW,64 MERRIAM ST,"214,000.00",MERRIAM ST,1
,,5721,23672-294,,01-26-2021 1:09:58p,SPRINGFIELD,135 DEVENS ST,1.00,DEVENS ST,8
,,5705,23672-102,,01-26-2021 12:49:13p,HOLYOKE,1889 NORTHAMPTON ST,1.00,NORTHAMPTON ST,2
,,5690,23671-598,,01-26-2021 12:27:39p,SPRINGFIELD,39 LAURELWOOD LA,1.00,LAURELWOOD LA,5
,,5678,23671-547,,01-26-2021 12:04:34p,CHICOPEE,23 FRANCIS ST,"249,900.00",FRANCIS ST,7
,,5675,23671-540,,01-26-2021 12:01:16p,CHICOPEE,48 EDGEWOOD AVE,"216,000.00",EDGEWOOD AVE,0
,,5763,23673-2,,01-26-2021 2:08:33p,SPRINGFIELD,115 STOCKMAN ST,100.00,STOCKMAN ST,5
,,5751,23672-489,,01-26-2021 1:55:29p,SPRINGFIELD,24-26 MONTGOMERY ST,"273,000.00",MONTGOMERY ST,3
,,5738,23672-429,,01-26-2021 1:31:06p,SPRINGFIELD,39-41 CHDAR ST,"270,750.00",CEDAR ST,3
,,5734,23672-403,,01-26-2021 1:27:23p,SPRINGFIELD,55 BELLEVUE AVE,"160,000.00",BELLEVUE AVE,2
,,5730,23672-379,,01-26-2021 1:24:30p,MONSO,113 THAYER RD,"275,000.00",THAYER RD,4
,,5728,23672-375,,01-26-2021 1:17:01p,SPRINGFIELD,19 ABBOTT ST,100.00,ABBOTT ST,0
,,5798,23673-366,,01-26-2021 3:09:11p,SPRINGFIELD,185 KING ST,"230,000.00","KING,WARRENTON STS &0",6
,,5786,23673-262,,01-26-2021 2:53:01p,SPRINGFIELD,84 AMBROSE RD,,"AMBROSE ST,RD",2
,,5775,23673-121,,01-26-2021 2:32:21p,SPRINGFIELD,230 KEDDY ST,,KEDDY ST,2
,,5774,23673-118,,01-26-2021 2:32:21p,SPRINGFIELD,624 PLAINFIELD ST,,PLAINFIELD ST,3
,,5773,23673-114,,01-26-2021 2:32:21p,WEST SPRINGFIELD,29 FIELD ST,"230,000.00",FIELD ST,2
,,5820,23673-451,,01-26-2021 3:34:20p,SPRINGFIELD,386 HANCOCK ST,"147,000.00",HANCOCK ST,6
,,5808,23673-408,,01-26-2021 3:21:50p,CHICOPEE,86 SANDERS ST,,SANDERS ST,3
,,5805,23673-391,,01-26-2021 3:17:32p,HOLYOKE,5 ADAMS ST,"147,000.00",ADAMS ST,2
,,5946,23674-464,,01-27-2021 11:19:58a,SPRINGFIELD,248 NASSAU DR UNIT 248,"129,900.00",UNIT 248,2
,,5935,23674-412,,01-27-2021 10:56:52a,CHICOPEE,94 ROYALTON ST,10.00,ROYALTON ST,4
,,5931,23674-397,,01-27-2021 10:51:55a,SPRINGFIELD,464 WILBRAHAM RD,"67,800.00",WILBRAHAM RD,1
,,5905,23674-222,,01-27-2021 9:35:22a,WESTFIELD,27 BLUE SKY DR,"67,800.00",BLUE SKY DR,5
,,5848,23673-561,,01-27-2021 8:45:29a,WESTFIELD,70 PEQUOT POINT RD,1.00,PEQUOT POINT RD,5
,,5840,23673-509,,01-27-2021 8:36:32a,BAST LONGMEADOW,61 WOOD AVE,"210,000.00",WOOD AVE,0
,,5984,23675-59,,01-27-2021 12:04:26p,HOLLAND,33 LENO RD,"179,900.00",ENO RD,6
,,5981,23675-54,,01-27-2021 11:54:38a,SPRINGFIELD,1087A DICKINSON ST,"159,900.00",UNIT 1087A,3
,,5980,23675-51,,01-27-2021 11:47:15a,WEST SPRINGFIELD,30 SILVER ST,1.00,SILVER ST,3
,,5978,23675-35,,01-27-2021 11:46:07a,HOLYOKE,1793 NORTHAMPTON ST,1.00,NORTHAMPTON ST,4
,,5970,23675-11,,01-27-2021 11:31:31a,HOLYOKE,11 OCONNELL RD,1.00,OCONNELL RD,4
,,6029,23675-308,,01-27-2021 1:36:19p,SPRINGFIELD,299 CAREW ST UNIT 300,"102,000.00",,2
,,6025,23675-291,,01-27-2021 1:27:56p,WILBRAHAM,810 RIDGE RD,1.00,RIDGE RD,3
,,6023,23675-272,,01-27-2021 1:24:06p,WEST SPRINGFIELD,30 HANOVER ST,"270,000.00",HANOVER ST,2
